date,close,volume,amount,pe_ttm,pe_median,pb,pb_median,dividend_yield
2010-01-04,3535.23,66101080.0,,23.83,37.46,3.35,4.13,
2010-01-05,3564.04,85809641.0,,24.08,38.08,3.39,4.15,
2010-01-06,3541.73,78473125.0,,23.83,37.88,3.35,4.15,
2010-01-07,3471.46,80350037.0,,23.32,36.89,3.29,4.07,
2010-01-08,3480.13,60790253.0,,23.31,37.34,3.29,4.08,
2010-01-11,3482.05,89980172.0,,23.42,37.29,3.3,4.08,
2010-01-12,3534.92,93743278.0,,23.82,37.81,3.36,4.17,
2010-01-13,3421.14,112457901.0,,22.92,36.23,3.24,4.05,
2010-01-14,3469.05,83353252.0,,23.15,37.85,3.28,4.11,
2010-01-15,3482.74,72543102.0,,23.2,37.64,3.28,4.16,
2010-01-18,3500.68,82854307.0,,23.26,38.55,3.26,4.22,
2010-01-19,3507.48,74883232.0,,23.32,38.2,3.27,4.17,
2010-01-20,3394.43,92495146.0,,22.65,36.47,3.18,4.04,
2010-01-21,3408.57,70595068.0,,22.74,36.44,3.19,4.07,
2010-01-22,3366.2,88933404.0,,22.64,35.44,3.18,4.02,
2010-01-25,3328.01,56849171.0,,22.4,35.23,3.14,3.99,
2010-01-26,3242.8,61752231.0,,21.94,33.7,3.08,3.88,
2010-01-27,3198.57,52691394.0,,21.66,33.61,3.04,3.84,
2010-01-28,3206.57,46990716.0,,21.65,33.73,3.04,3.87,
2010-01-29,3204.16,50262613.0,,21.6,34.17,3.03,3.89,
2010-02-01,3152.71,57001380.0,,21.23,33.0,2.98,3.83,
2010-02-02,3146.19,50130033.0,,21.21,33.12,2.98,3.79,
2010-02-03,3230.72,64798894.0,,21.76,34.56,3.05,3.87,
2010-02-04,3218.8,58972726.0,,21.59,34.25,3.03,3.89,
2010-02-05,3153.09,59105845.0,,21.19,33.55,2.98,3.82,
2010-02-08,3150.99,37355951.0,,21.15,33.77,2.97,3.82,
2010-02-09,3169.19,35953158.0,,21.24,33.9,2.98,3.79,
2010-02-10,3214.13,34219894.0,,21.48,34.55,3.02,3.84,
2010-02-11,3220.4,35791052.0,,21.51,34.49,3.02,3.84,
2010-02-12,3251.28,34058238.0,,21.77,34.85,3.05,3.9,
2010-02-22,3233.35,38283772.0,,21.62,34.84,3.03,3.87,
2010-02-23,3198.63,42742898.0,,21.37,34.13,3.0,3.82,
2010-02-24,3244.48,49989437.0,,21.61,34.47,3.03,3.89,
2010-02-25,3292.13,67586617.0,,21.87,35.01,3.07,3.92,
2010-02-26,3281.67,52107288.0,,21.76,35.21,3.06,3.92,
2010-03-01,3324.42,60504520.0,,22.01,34.95,3.09,3.97,
2010-03-02,3311.24,57034374.0,,21.88,35.05,3.08,3.96,
2010-03-03,3335.08,60622732.0,,22.0,35.19,3.09,4.0,
2010-03-04,3250.57,69346810.0,,21.53,34.57,3.03,3.88,
2010-03-05,3259.76,45629138.0,,21.56,34.45,3.03,3.86,
2010-03-08,3286.18,41540876.0,,21.68,34.44,3.05,3.88,
2010-03-09,3305.86,54199486.0,,21.82,34.46,3.07,3.87,
2010-03-10,3279.69,46421079.0,,21.65,33.65,3.05,3.84,
2010-03-11,3276.71,47487754.0,,21.71,33.46,3.06,3.83,
2010-03-12,3233.13,39957344.0,,21.36,32.78,3.02,3.76,
2010-03-15,3183.18,37844304.0,,21.04,32.21,2.97,3.77,
2010-03-16,3203.97,30847780.0,,21.1,32.0,2.98,3.75,
2010-03-17,3273.92,45800934.0,,21.49,32.87,3.04,3.8,
2010-03-18,3267.55,46948013.0,,21.4,33.04,3.03,3.77,
2010-03-19,3293.87,46062187.0,,21.57,33.01,3.04,3.79,
2010-03-22,3302.63,49439462.0,,21.6,33.07,3.04,3.8,
2010-03-23,3275.57,46539536.0,,21.39,32.95,3.02,3.81,
2010-03-24,3276.67,44547966.0,,21.05,33.18,3.01,3.84,
2010-03-25,3229.13,44984285.0,,21.15,33.06,2.97,3.76,
2010-03-26,3275.0,47444965.0,,21.28,33.32,2.99,3.78,
2010-03-29,3358.54,84724910.0,,21.57,34.02,3.05,3.87,
2010-03-30,3366.71,56436980.0,,21.63,34.28,3.05,3.87,
2010-03-31,3345.61,53124287.0,,21.38,33.81,3.01,3.8,
2010-04-01,3391.94,67772669.0,,21.38,33.81,3.01,3.8,
2010-04-02,3407.35,69073452.0,,21.61,34.35,3.05,3.92,
2010-04-06,3405.15,65191710.0,,21.59,34.5,3.05,3.93,
2010-04-07,3386.95,54011228.0,,21.47,34.35,3.04,3.91,
2010-04-08,3346.74,62185322.0,,20.86,33.97,2.97,3.83,
2010-04-09,3379.17,51280567.0,,21.05,34.31,2.99,3.87,
2010-04-12,3351.48,74565150.0,,20.83,34.29,2.96,3.87,
2010-04-13,3391.72,79907695.0,,21.2,33.93,3.01,3.89,
2010-04-14,3403.71,60306131.0,,21.08,34.3,3.01,3.92,
2010-04-15,3394.57,61051685.0,,21.09,33.96,3.02,3.91,
